AK-Logger v1.0
Datum: 1900-1-1

Timestamp;Temperature;Humidity;
7:12:23;19.05;40.70;
7:12:24;25.43;65.10;
7:12:25;27.52;43.44;
7:12:26;18.36;63.67;
7:12:27;17.47;50.17;
7:12:28;19.75;45.98;
7:12:29;16.60;53.23;
7:12:30;16.98;34.19;
7:12:31;26.27;47.76;
7:12:32;22.94;69.00;
7:12:33;16.65;65.08;
7:12:34;27.54;50.24;
7:12:35;15.06;62.58;
7:12:36;29.93;43.83;
7:12:37;27.35;45.14;
7:12:38;20.87;74.01;
7:12:39;21.04;34.04;
7:12:40;26.51;46.69;
7:12:41;25.85;50.66;
7:12:42;25.69;63.18;
7:12:43;22.79;32.24;
7:12:44;24.98;38.14;
7:12:45;29.95;63.45;
7:12:46;28.37;74.39;
7:12:47;15.84;31.80;
7:12:48;23.35;40.92;
7:12:49;24.43;69.10;
7:12:50;15.22;42.52;
7:12:51;28.30;36.02;
7:12:52;21.21;73.36;
7:12:53;25.73;60.53;
7:12:54;28.01;41.88;
7:12:55;26.42;61.30;
7:12:56;16.37;45.72;
7:12:57;28.08;79.47;
7:12:58;22.42;63.77;
7:12:59;23.30;43.88;
7:13:0;20.81;57.04;
7:13:1;29.11;56.76;
7:13:2;28.46;51.94;
7:13:3;27.19;38.84;
7:13:4;22.21;77.87;
7:13:5;17.13;56.94;
7:13:6;25.67;79.55;
7:13:7;17.56;75.16;
7:13:8;16.44;52.77;
7:13:9;18.28;72.23;
7:13:10;23.87;54.62;
7:13:11;29.78;77.16;
7:13:12;20.89;51.92;
7:13:13;22.40;64.32;
7:13:14;23.15;72.09;
7:13:15;19.07;77.09;
7:13:16;26.77;39.00;
7:13:17;19.18;73.64;
7:13:18;23.34;57.65;
7:13:19;29.45;45.71;
7:13:20;27.22;39.83;
7:13:21;16.81;32.78;
7:13:22;21.41;40.27;
7:13:23;15.18;54.13;
7:13:24;20.58;77.58;
7:13:25;19.74;44.69;
7:13:26;24.91;54.84;
7:13:27;26.07;68.17;
7:13:28;23.53;38.00;
7:13:29;17.59;58.89;
7:13:30;18.19;54.14;
7:13:31;22.53;36.50;
7:13:32;29.45;47.85;
7:13:33;18.03;67.49;
7:13:34;22.37;42.34;
7:13:35;24.49;32.90;
7:13:36;26.95;62.72;
7:13:37;16.63;52.31;
7:13:38;16.34;59.91;
7:13:39;29.14;76.12;
